DATE,MEMORY_TYPE,MODE,GRAIN,PERCENTAGE_INSERT,OCCURRENCES_INSERT,TIME_INSERT,FLUSH_INSERT,PERCENTAGE_INPLACE_INSERT,OCCURRENCES_INPLACE_INSERT,TIME_INPLACE_INSERT,FLUSH_INPLACE_INSERT,PERCENTAGE_LOOKUP,OCCURRENCES_LOOKUP,TIME_LOOKUP,FLUSH_LOOKUP,PERCENTAGE_UPDATE,OCCURRENCES_UPDATE,TIME_UPDATE,FLUSH_UPDATE,PERCENTAGE_REMOVE,OCCURRENCES_REMOVE,TIME_REMOVE,FLUSH_REMOVE,TOTAL_TIME(s), TOTAL_FLUSH
2019-3-30_0:55:36,STT-RAM,DRAM_MODE,0,7,35075,0.003844,0.000000,8,4925,0.004055,0.000000,98,449898,3.725868,0.000000,99,5089,0.046922,0.000000,100,5013,0.045453,0.000000,3.908254,1.000000
2019-3-30_0:55:40,PCM,DRAM_MODE,0,7,35075,0.003911,0.000000,8,4925,0.004050,0.000000,98,449898,3.730537,0.000000,99,5089,0.046955,0.000000,100,5013,0.045542,0.000000,3.912370,1.000000
2019-3-30_0:55:44,STT-RAM,DRAM_MODE,0,7,35075,0.003596,0.000000,8,4925,0.004376,0.000000,98,449898,3.713197,0.000000,99,5089,0.046732,0.000000,100,5013,0.045339,0.000000,3.892566,1.000000
2019-3-30_0:55:48,PCM,DRAM_MODE,0,7,35075,0.004188,0.000000,8,4925,0.004374,0.000000,98,449898,3.992946,0.000000,99,5089,0.050334,0.000000,100,5013,0.048800,0.000000,4.184880,1.000000
2019-3-30_0:55:52,STT-RAM,DRAM_MODE,0,7,35075,0.003981,0.000000,8,4925,0.004186,0.000000,98,449898,3.833456,0.000000,99,5089,0.048332,0.000000,100,5013,0.046747,0.000000,4.020841,1.000000
2019-3-30_0:55:56,PCM,DRAM_MODE,0,7,35075,0.003702,0.000000,8,4925,0.004165,0.000000,98,449898,3.855244,0.000000,99,5089,0.048448,0.000000,100,5013,0.047053,0.000000,4.038817,1.000000
2019-3-30_0:56:0,STT-RAM,DRAM_MODE,0,7,35075,0.003837,0.000000,8,4925,0.004045,0.000000,98,449898,3.725488,0.000000,99,5089,0.046874,0.000000,100,5013,0.045421,0.000000,3.908158,1.000000
2019-3-30_0:56:4,PCM,DRAM_MODE,0,7,35075,0.003606,0.000000,8,4925,0.003988,0.000000,98,449898,3.704603,0.000000,99,5089,0.046703,0.000000,100,5013,0.045475,0.000000,3.879801,1.000000
2019-3-30_0:56:8,STT-RAM,DRAM_MODE,0,7,35075,0.003899,0.000000,8,4925,0.004070,0.000000,98,449898,3.731241,0.000000,99,5089,0.046962,0.000000,100,5013,0.045460,0.000000,3.914556,1.000000
2019-3-30_0:56:24,PCM,DRAM_MODE,0,87,434877,0.056601,0.000000,88,4933,1.207262,0.000000,98,50115,12.233627,0.000000,99,5062,1.247058,0.000000,100,5013,1.266722,0.000000,16.132476,1.000000
2019-3-30_0:56:40,STT-RAM,DRAM_MODE,0,87,434877,0.127521,0.000000,88,4933,1.162746,0.000000,98,50115,11.815094,0.000000,99,5062,1.205779,0.000000,100,5013,1.222953,0.000000,15.660802,1.000000
2019-3-30_0:56:55,PCM,DRAM_MODE,0,87,434877,0.054926,0.000000,88,4933,1.169140,0.000000,98,50115,11.846540,0.000000,99,5062,1.207162,0.000000,100,5013,1.225341,0.000000,15.625024,1.000000
2019-3-30_0:57:11,STT-RAM,DRAM_MODE,0,87,434877,0.055148,0.000000,88,4933,1.143566,0.000000,98,50115,11.612746,0.000000,99,5062,1.182057,0.000000,100,5013,1.198627,0.000000,15.318368,1.000000
2019-3-30_0:57:26,PCM,DRAM_MODE,0,87,434877,0.056144,0.000000,88,4933,1.187119,0.000000,98,50115,12.032070,0.000000,99,5062,1.230255,0.000000,100,5013,1.248246,0.000000,15.874773,1.000000
2019-3-30_0:57:43,STT-RAM,DRAM_MODE,0,87,434877,0.056963,0.000000,88,4933,1.200850,0.000000,98,50115,12.168224,0.000000,99,5062,1.241612,0.000000,100,5013,1.257876,0.000000,16.050857,1.000000
2019-3-30_0:57:58,PCM,DRAM_MODE,0,87,434877,0.054558,0.000000,88,4933,1.164500,0.000000,98,50115,11.792398,0.000000,99,5062,1.204065,0.000000,100,5013,1.220646,0.000000,15.556025,1.000000
2019-3-30_0:58:14,STT-RAM,DRAM_MODE,0,87,434877,0.056727,0.000000,88,4933,1.200679,0.000000,98,50115,12.167439,0.000000,99,5062,1.241319,0.000000,100,5013,1.259596,0.000000,16.052455,1.000000
2019-3-30_0:58:30,PCM,DRAM_MODE,0,87,434877,0.055352,0.000000,88,4933,1.163948,0.000000,98,50115,11.782498,0.000000,99,5062,1.208496,0.000000,100,5013,1.224808,0.000000,15.555632,1.000000
2019-3-30_0:58:45,STT-RAM,DRAM_MODE,0,87,434877,0.055756,0.000000,88,4933,1.176235,0.000000,98,50115,11.938254,0.000000,99,5062,1.217052,0.000000,100,5013,1.229714,0.000000,15.741715,1.000000
